name,slug
"Senator Coverdell, Paul",paul-coverdell/C000813
"Senator Cowan, William M.",william-mo-cowan/C001099
"Representative Cox, Christopher",christopher-cox/C000830
"Representative Cox, John W., Jr.",john-cox/C000836
"Representative Cox, TJ",tj-cox/C001124
"Representative Coyne, James K.",james-coyne/C000845
"Representative Coyne, William J.",william-coyne/C000846
"Representative Craig, Angie",angie-craig/C001119
"Senator Craig, Larry E.",larry-craig/C000858
"Senator Cramer, Kevin",kevin-cramer/C001096
"Representative Cramer, Robert E. (Bud), Jr.",robert-cramer/C000868
"Representative Crane, Daniel B.",daniel-crane/C000871
"Representative Crane, Philip M.",philip-crane/C000873
"Senator Cranston, Alan",alan-cranston/C000877
"Senator Crapo, Mike",michael-crapo/C000880
"Representative Cravaack, Chip",chip-cravaack/C001086
"Representative Crawford, Eric A. ""Rick""",eric-crawford/C001087
"Representative Cremeans, Frank A.",frank-cremeans/C000903
"Representative Crenshaw, Ander",ander-crenshaw/C001045
"Representative Crenshaw, Dan",dan-crenshaw/C001120
"Representative Crist, Charlie",charlie-crist/C001111
"Representative Critz, Mark S.",mark-critz/C001081
"Representative Crockett, George W., Jr.",george-crockett/C000919
"Representative Cronin, Paul W.",paul-cronin/C000925
"Representative Crow, Jason",jason-crow/C001121
"Representative Crowley, Joseph",joseph-crowley/C001038
"Senator Cruz, Ted",ted-cruz/C001098
"Representative Cubin, Barbara",barbara-cubin/C000962
"Representative Cuellar, Henry",henry-cuellar/C001063
"Representative Culberson, John Abney",john-culberson/C001048
"Senator Culver, John C.",john-culver/C000979
"Representative Cummings, Elijah E.",elijah-cummings/C000984
"Representative Cunningham, Joe",joe-cunningham/C001122
"Representative Cunningham, John E. (Jack)",john-cunningham/C000992
"Representative Cunningham, Randy (Duke)",randy-cunningham/C000994
"Representative Curbelo, Carlos",carlos-curbelo/C001107
"Representative Curson, David Alan",david-curson/C001089
"Senator Curtis, Carl T.",carl-curtis/C001006
"Representative Curtis, John R.",john-curtis/C001114
"Senator D'Amato, Alfonse",alfonse-d-amato/D000018
"Representative D'Amours, Norman E.",norman-d-amours/D000017
"Representative Dahlkemper, Kathleen A.",kathleen-dahlkemper/D000608
"Senator Daines, Steve",steve-daines/D000618
"Senator Danforth, John C.",john-danforth/D000030
"Representative Daniel, Robert W., Jr.",robert-daniel/D000037
"Representative Daniel, W. C. (Dan)",w-daniel/D000038
"Representative Daniels, Dominick V.",dominick-daniels/D000041
"Representative Danielson, George E.",george-danielson/D000043
"Representative Dannemeyer, William E.",william-dannemeyer/D000044
"Representative Danner, Pat",pat-danner/D000046
"Representative Darden, George (Buddy)",george-darden/D000051
"Senator Daschle, Thomas A.",thomas-daschle/D000064
"Representative Daub, Hal",hal-daub/D000065
"Representative Davids, Sharice",sharice-davids/D000629
"Representative Davidson, Warren",warren-davidson/D000626
"Representative Davis, Artur",artur-davis/D000602
"Representative Davis, Danny K.",danny-davis/D000096
"Representative Davis, David",david-davis/D000606
"Representative Davis, Geoff",geoff-davis/D000603
"Representative Davis, Glenn R.",glenn-davis/D000102
"Representative Davis, Jack",jack-davis/D000106
"Representative Davis, Jim",jim-davis/D000114
"Representative Davis, Jo Ann",jo-ann-davis/D000597
"Representative Davis, John W.",john-davis/D000122
"Representative Davis, Lincoln",lincoln-davis/D000599
"Representative Davis, Mendel J.",mendel-davis/D000125
"Representative Davis, Robert W.",robert-davis/D000131
"Representative Davis, Rodney",rodney-davis/D000619
"Representative Davis, Susan A.",susan-davis/D000598
"Representative Davis, Tom",thomas-davis/D000136
"Senator Dayton, Mark",mark-dayton/D000596
"Representative de la Garza, E.",e-de-la-garza/D000203
"Representative de Lugo, Ron",ron-de-lugo/D000209
"Representative Deal, Nathan",nathan-deal/D000168
"Representative Dean, Madeleine",madeleine-dean/D000631
"Representative Deckard, Joel",h-deckard/D000183
"Senator DeConcini, Dennis",dennis-deconcini/D000185
"Representative DeFazio, Peter A.",peter-defazio/D000191
"Representative DeGette, Diana",diana-degette/D000197
"Representative Delahunt, Bill",bill-delahunt/D000210
"Representative Delaney, James J.",james-delaney/D000211
