name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Rigell, E. Scott",e-rigell/R000589,E. Scott Rigell,1960,Republican,not current,514
"Representative Riggleman, Denver",denver-riggleman/R000611,Denver Riggleman,1970,Republican,current,364
"Representative Riggs, Frank",frank-riggs/R000252,Frank Riggs,1950,Republican,not current,997
"Representative Riley, Bob",bob-riley/R000258,Bob Riley,1944,Republican,not current,549
"Representative Rinaldo, Matthew J.",matthew-rinaldo/R000262,Matthew J. Rinaldo,1931,Republican,not current,"3,222"
"Senator Risch, James E.",james-risch/R000584,James E. Risch,1943,Republican,current,"1,798"
"Representative Risenhoover, Theodore M.",theo-risenhoover/R000268,Theodore M. Risenhoover,1934,Democratic,not current,327
"Representative Ritter, Don",donald-ritter/R000277,Don Ritter,1940,Republican,not current,"2,142"
"Representative Rivera, David",david-rivera/R000590,David Rivera,1965,Republican,not current,229
"Representative Rivers, Lynn N.",lynn-rivers/R000281,Lynn N. Rivers,1956,Democratic,not current,"1,522"
"Senator Robb, Charles S.",charles-robb/R000295,Charles S. Robb,1939,Democratic,not current,"1,924"
"Representative Roberts, Clint",clint-roberts/R000308,Clint Roberts,1935,Republican,not current,252
"Senator Roberts, Pat",pat-roberts/R000307,Pat Roberts,1936,Republican,current,"5,340"
"Representative Roberts, Ray",ray-roberts/R000312,Ray Roberts,1913,Democratic,not current,531
"Representative Robinson, J. Kenneth",j-robinson/R000337,J. Kenneth Robinson,1916,Republican,not current,"1,272"
"Representative Robinson, Tommy F.",tommy-robinson/R000354,Tommy F. Robinson,1942,History,not current,"1,192"
"Representative Robison, Howard W.",howard-robison/R000357,Howard W. Robison,1915,Republican,not current,160
"Representative Roby, Martha",martha-roby/R000591,Martha Roby,1976,Republican,current,586
"Senator Rockefeller, John D., IV",jay-rockefeller/R000361,John D. Rockefeller IV,1937,Democratic,not current,"4,637"
"Representative Rodino, Peter W., Jr.",peter-rodino/R000374,Peter W. Rodino Jr.,1909,Democratic,not current,"3,266"
"Representative Rodriguez, Ciro D.",ciro-rodriguez/R000568,Ciro D. Rodriguez,1946,Democratic,not current,"1,998"
"Representative Roe, David P.",david-roe/R000582,David P. Roe,1945,Republican,current,"2,162"
"Representative Roe, Robert A.",robert-roe/R000383,Robert A. Roe,1924,Democratic,not current,"8,067"
"Representative Roemer, Buddy",charles-roemer/R000384,Buddy Roemer,1943,Democratic,not current,739
"Representative Roemer, Tim",tim-roemer/R000385,Tim Roemer,1956,Democratic,not current,848
"Representative Rogan, James E.",james-rogan/R000386,James E. Rogan,1957,Republican,not current,390
"Representative Rogers, Harold",harold-rogers/R000395,Harold Rogers,1937,Republican,current,"2,781"
"Representative Rogers, Mike D.",mike-rogers/R000575,Mike Rogers,1958,Republican,current,"1,628"
"Representative Rogers, Mike J.",mike-rogers/R000572,Mike Rogers,1963,Republican,not current,"1,591"
"Representative Rogers, Paul G.",paul-rogers/R000401,Paul G. Rogers,1921,Democratic,not current,536
"Representative Rohrabacher, Dana",dana-rohrabacher/R000409,Dana Rohrabacher,1947,Republican,not current,"4,104"
"Representative Rokita, Todd",todd-rokita/R000592,Todd Rokita,1970,Republican,not current,"1,245"
"Representative Romero-Barcelo, Carlos A.",carlos-romero-barcelo/R000417,Commissioner Carlos A. Romero-Barcelo,1932,Democratic,not current,"1,051"
"Senator Romney, Mitt ",mitt-romney/R000615,Mitt Romney,1947,Republican,current,202
"Representative Roncalio, Teno",teno-roncalio/R000421,Teno Roncalio,1916,Democratic,not current,516
"Representative Roncallo, Angelo D.",angelo-roncallo/R000422,Angelo D. Roncallo,1927,Republican,not current,239
"Representative Rooney, Francis",francis-rooney/R000607,Francis Rooney,1953,Republican,current,463
"Representative Rooney, Fred B.",fred-rooney/R000423,Fred B. Rooney,1925,Democratic,not current,532
"Representative Rooney, John J.",john-rooney/R000424,John J. Rooney,1903,Democratic,not current,17
"Representative Rooney, Thomas J.",thomas-rooney/R000583,Thomas J. Rooney,1970,Republican,not current,"1,342"
"Representative Ros-Lehtinen, Ileana",ileana-ros-lehtinen/R000435,Ileana Ros-Lehtinen,1952,Republican,not current,"4,330"
"Representative Rose, Charlie",charles-rose/R000436,Charlie Rose,1939,Democratic,not current,"2,789"
"Representative Rose, John W.",john-rose/R000612,John W. Rose,1965,Republican,current,109
"Representative Rose, Max",max-rose/R000613,Max Rose,1986,Democratic,current,537
"Senator Rosen, Jacky",jacklyn-rosen/R000608,Jacky Rosen,1957,Democratic,current,"1,174"
"Representative Rosenthal, Benjamin S.",benjamin-rosenthal/R000442,Benjamin S. Rosenthal,1923,Democratic,not current,"2,181"
"Representative Roskam, Peter J.",peter-roskam/R000580,Peter J. Roskam,1961,Republican,not current,"1,467"
"Representative Ross, Dennis A.",dennis-ross/R000593,Dennis A. Ross,1959,Republican,not current,"1,289"
"Representative Ross, Mike",mike-ross/R000573,Mike Ross,1961,Democratic,not current,"2,080"
"Representative Rostenkowski, Dan",daniel-rostenkowski/R000458,Dan Rostenkowski,1928,Democratic,not current,775
"Senator Roth Jr., William V.",william-roth/R000460,William V. Roth Jr.,1921,Republican,not current,"3,034"
"Representative Roth, Toby",toby-roth/R000459,Toby Roth,1938,Republican,not current,"1,575"
"Representative Rothfus, Keith J.",keith-rothfus/R000598,Keith J. Rothfus,1962,Republican,not current,710
"Representative Rothman, Steven R.",steven-rothman/R000462,Steven R. Rothman,1952,Democratic,not current,"3,432"
"Representative Rouda, Harley",harley-rouda/R000616,Harley Rouda,1961,Democratic,current,686
"Representative Roukema, Marge",marge-roukema/R000465,Marge Roukema,1929,Republican,not current,"2,520"
"Senator Rounds, Mike ",mike-rounds/R000605,Mike Rounds,1954,Republican,current,"1,035"
"Representative Roush, J. Edward",john-roush/R000467,J. Edward Roush,1920,Democratic,not current,192
"Representative Rousselot, John H.",john-rousselot/R000469,John H. Rousselot,1927,Republican,not current,956
"Representative Rouzer, David",david-rouzer/R000603,David Rouzer,1972,Republican,current,876
"Representative Rowland, J. Roy",j-rowland/R000481,J. Roy Rowland,1926,Democratic,not current,"1,517"
"Representative Rowland, John G.",john-rowland/R000482,John G. Rowland,1957,Republican,not current,936
"Representative Roy, Chip",chip-roy/R000614,Chip Roy,1972,Republican,current,171
"Representative Roy, William R.",william-roy/R000484,William R. Roy,1926,Democratic,not current,245
"Representative Roybal, Edward R.",edward-roybal/R000485,Edward R. Roybal,1916,Democratic,not current,"3,365"
"Representative Roybal-Allard, Lucille",lucille-roybal-allard/R000486,Lucille Roybal-Allard,1941,Democratic,current,"4,983"
"Representative Royce, Edward R.",ed-royce/R000487,Edward R. Royce,1951,Republican,not current,"2,811"
"Representative Royer, William",william-royer/R000489,William Royer,1920,Republican,not current,166
"Senator Rubio, Marco",marco-rubio/R000595,Marco Rubio,1971,Republican,current,"2,850"
"Representative Rudd, Eldon D.",eldon-rudd/R000495,Eldon D. Rudd,1920,Republican,not current,973
"Senator Rudman, Warren",warren-rudman/R000497,Warren Rudman,1930,Republican,not current,806
"Representative Ruiz, Raul",raul-ruiz/R000599,Raul Ruiz,1972,Democratic,current,"1,239"
"Representative Runnels, Harold L.",harold-runnels/R000510,Harold L. Runnels,1924,Democratic,not current,374
"Representative Runyan, Jon",jon-runyan/R000594,Jon Runyan,1973,Republican,not current,398
"Representative Ruppe, Philip E.",philip-ruppe/R000512,Philip E. Ruppe,1926,Republican,not current,469
"Representative Ruppersberger, C. A. Dutch",c-a-ruppersberger/R000576,C. A. Dutch Ruppersberger,1946,Democratic,current,"2,509"
"Representative Rush, Bobby L.",bobby-rush/R000515,Bobby L. Rush,1946,Democratic,current,"6,259"
"Representative Russell, Steve",steve-russell/R000604,Steve Russell,1963,Republican,not current,350
"Representative Russo, Martin A.",martin-russo/R000543,Martin A. Russo,1944,Democratic,not current,"1,560"
"Representative Ruth, Earl B.",earl-ruth/R000545,Earl B. Ruth,1916,Republican,not current,14
"Representative Rutherford, John H.",john-rutherford/R000609,John H. Rutherford,1952,Republican,current,559
"Representative Ryan, Leo J.",leo-ryan/R000558,Leo J. Ryan,1925,Democratic,not current,682
"Representative Ryan, Paul D.",paul-ryan/R000570,Paul D. Ryan,1970,Republican,not current,"1,181"
"Representative Ryan, Tim",tim-ryan/R000577,Tim Ryan,1973,Democratic,current,"4,314"
"Representative Ryun, Jim",jim-ryun/R000566,Jim Ryun,1947,Republican,not current,925
"Representative Sablan, Gregorio Kilili Camacho",gregorio-sablan/S001177,Gregorio Kilili Camacho Sablan,1955,Democratic,current,"1,485"
"Representative Sabo, Martin Olav",martin-sabo/S000005,Martin Olav Sabo,1938,Democratic,not current,"3,452"
"Representative Saiki, Patricia",patricia-saiki/S000014,Patricia Saiki,1930,Republican,not current,824
"Representative Salazar, John T.",john-salazar/S001158,John T. Salazar,1953,Democratic,not current,854
"Senator Salazar, Ken",ken-salazar/S001163,Ken Salazar,1955,Democratic,not current,"1,189"
"Representative Sali, Bill",bill-sali/S001167,Bill Sali,1954,Republican,not current,324
"Representative Salmon, Matt",matt-salmon/S000018,Matt Salmon,1958,Republican,not current,"1,213"
"Representative San Nicolas, Michael F. Q.",michael-san-nicolas/S001204,Michael F. Q. San Nicolas,1981,Democratic,current,438
"Representative Sanchez, Linda T.",linda-sanchez/S001156,Linda T. Sanchez,1969,Democratic,current,"3,734"
"Representative Sanchez, Loretta",loretta-sanchez/S000030,Loretta Sanchez,1960,Democratic,not current,"2,895"
"Senator Sanders, Bernard",bernard-sanders/S000033,Bernard Sanders,1941,Independent,current,"7,398"
"Representative Sandlin, Max",max-sandlin/S000044,Max Sandlin,1952,Democratic,not current,"1,528"
"Representative Sandman, Charles W., Jr.",chas-sandman/S000045,Charles W. Sandman Jr.,1921,Republican,not current,116
"Representative Sanford, Mark",mark-sanford/S000051,Mark Sanford,1960,Republican,not current,700
"Senator Sanford, Terry",terry-sanford/S000055,Terry Sanford,1917,Democratic,not current,"1,287"
"Representative Sangmeister, George E.",george-sangmeister/S000056,George E. Sangmeister,1931,Democratic,not current,799
"Representative Santini, James D.",jim-santini/S000058,James D. Santini,1937,Democratic,not current,711
"Senator Santorum, Rick",rick-santorum/S000059,Rick Santorum,1958,Republican,not current,"2,604"
"Representative Sarasin, Ronald A.",ronald-sarasin/S000062,Ronald A. Sarasin,1934,Republican,not current,622
"Representative Sarbanes, John P.",john-sarbanes/S001168,John P. Sarbanes,1962,Democratic,current,"1,798"
"Senator Sarbanes, Paul S.",paul-sarbanes/S000064,Paul S. Sarbanes,1933,Democratic,not current,"4,796"
"Representative Sarpalius, Bill",bill-sarpalius/S000066,Bill Sarpalius,1948,Democratic,not current,798
"Senator Sasse, Ben ",ben-sasse/S001197,Ben Sasse,1972,Republican,current,509
"Senator Sasser, Jim",james-sasser/S000068,Jim Sasser,1936,Democratic,not current,"2,617"
"Representative Satterfield, David E., III",dave-satterfield/S000070,David E. Satterfield III,1920,Democratic,not current,424
"Representative Savage, Gus",gus-savage/S000081,Gus Savage,1925,Democratic,not current,"2,144"
"Representative Sawyer, Harold S.",harold-sawyer/S000087,Harold S. Sawyer,1920,Republican,not current,860
"Representative Sawyer, Tom",tom-sawyer/S000094,Tom Sawyer,1945,Democratic,not current,"1,912"
"Senator Saxbe, William B.",william-saxbe/S000096,William B. Saxbe,1916,Republican,not current,27
"Representative Saxton, Jim",h-saxton/S000097,Jim Saxton,1943,Republican,not current,"4,108"
"Representative Saylor, John P.",john-saylor/S000102,John P. Saylor,1908,Republican,not current,170
"Representative Scalise, Steve",steve-scalise/S001176,Steve Scalise,1965,Republican,current,948
"Representative Scanlon, Mary Gay",mary-scanlon/S001205,Mary Gay Scanlon,1959,Democratic,current,645
"Representative Scarborough, Joe",joe-scarborough/S000106,Joe Scarborough,1963,Republican,not current,648
"Representative Schaefer, Dan",dan-schaefer/S000109,Dan Schaefer,1936,Republican,not current,"1,721"
"Representative Schaffer, Bob",robert-schaffer/S000112,Bob Schaffer,1962,Republican,not current,"1,061"
"Representative Schakowsky, Janice D.",janice-schakowsky/S001145,Janice D. Schakowsky,1944,Democratic,current,"8,250"
"Senator Schatz, Brian",brian-schatz/S001194,Brian Schatz,1972,Democratic,current,"1,705"
"Representative Schauer, Mark H.",mark-schauer/S001178,Mark H. Schauer,1961,Democratic,not current,296
"Representative Schenk, Lynn",lynn-schenk/S000119,Lynn Schenk,1945,Democratic,not current,232
"Representative Scherle, William J.",william-scherle/S000121,William J. Scherle,1923,Republican,not current,151
"Representative Scheuer, James H.",james-scheuer/S000124,James H. Scheuer,1920,Democratic,not current,"4,730"
"Representative Schiff, Adam B.",adam-schiff/S001150,Adam B. Schiff,1960,Democratic,current,"4,370"
"Representative Schiff, Steven",steven-schiff/S000125,Steven Schiff,1947,Republican,not current,"1,266"
"Representative Schilling, Robert T.",robert-schilling/S001182,Robert T. Schilling,1964,Republican,not current,220
"Representative Schmidt, Jean",jean-schmidt/S001164,Jean Schmidt,1951,Republican,not current,841
"Senator Schmitt, Harrison H.",harrison-schmitt/S000132,Harrison H. Schmitt,1935,Republican,not current,760
"Representative Schneebeli, Herman T.",herman-schneebeli/S000135,Herman T. Schneebeli,1907,Republican,not current,200
"Representative Schneider, Bradley Scott",bradley-schneider/S001190,Bradley Scott Schneider,1961,Democratic,current,"1,062"
"Representative Schneider, Claudine",claudine-schneider/S000136,Claudine Schneider,1947,Republican,not current,"1,689"
"Representative Schock, Aaron",aaron-schock/S001179,Aaron Schock,1981,Republican,not current,"1,173"
"Representative Schrader, Kurt",kurt-schrader/S001180,Kurt Schrader,1951,Democratic,current,"1,340"
"Representative Schrier, Kim",kim-schrier/S001216,Kim Schrier,1968,Democratic,current,363
"Representative Schrock, Edward L.",edward-schrock/S001151,Edward L. Schrock,1941,Republican,not current,475
"Representative Schroeder, Patricia",patricia-schroeder/S000142,Patricia Schroeder,1940,Democratic,not current,"3,391"
"Representative Schuette, Bill",bill-schuette/S000143,Bill Schuette,1953,Republican,not current,"1,233"
"Representative Schulze, Richard T.",richard-schulze/S000146,Richard T. Schulze,1929,Republican,not current,"1,106"
"Senator Schumer, Charles E.",charles-schumer/S000148,Charles E. Schumer,1950,Democratic,current,"9,486"
"Representative Schwartz, Allyson Y.",allyson-schwartz/S001162,Allyson Y. Schwartz,1948,Democratic,not current,"1,695"
"Representative Schwarz, John J.H. ""Joe""",john-schwarz/S001161,"John J.H. ""Joe"" Schwarz",1937,Republican,not current,312
"Senator Schweiker, Richard S.",richard-schweiker/S000159,Richard S. Schweiker,1926,Republican,not current,652
"Representative Schweikert, David",david-schweikert/S001183,David Schweikert,1962,Republican,current,"1,202"
"Representative Scott, Austin",austin-scott/S001189,Austin Scott,1969,Republican,current,"1,129"
"Representative Scott, David",david-scott/S001157,David Scott,1945,Democratic,current,"2,823"
"Senator Scott, Hugh",hugh-scott/S000174,Hugh Scott,1900,Republican,not current,632
"Senator Scott, Rick ",rick-scott/S001217,Rick Scott,1952,Republican,current,346
"Representative Scott, Robert C. ""Bobby""",robert-scott/S000185,"Robert C. ""Bobby"" Scott",1947,Democratic,current,"4,172"
"Senator Scott, Tim",tim-scott/S001184,Tim Scott,1965,Republican,current,"1,246"
"Senator Scott, William Lloyd",william-scott/S000189,William Lloyd Scott,1915,Republican,not current,198
"Representative Seastrand, Andrea H.",andrea-seastrand/S000213,Andrea H. Seastrand,1941,Republican,not current,219
"Representative Sebelius, Keith G.",keith-sebelius/S000217,Keith G. Sebelius,1916,Republican,not current,885
"Representative Seiberling, John F.",john-seiberling/S000230,John F. Seiberling,1918,Democratic,not current,"2,602"
"Representative Sekula Gibbs, Shelley",shelley-sekula-gibbs/S001166,Shelley Sekula Gibbs,1953,Republican,not current,8
"Representative Sensenbrenner, F. James, Jr.",f-sensenbrenner/S000244,"F. James Sensenbrenner, Jr.",1943,Republican,current,"4,440"
"Representative Serrano, Jose E.",jose-serrano/S000248,Jose E. Serrano,1943,Democratic,current,"6,521"
"Senator Sessions, Jeff",jeff-sessions/S001141,Jeff Sessions,1946,Republican,not current,"2,763"
"Representative Sessions, Pete",pete-sessions/S000250,Pete Sessions,1955,Republican,not current,"4,207"
"Representative Sestak, Joe",joe-sestak/S001169,Joe Sestak,1951,Democratic,not current,"1,387"
"Representative Sewell, Terri A.",terri-sewell/S001185,Terri A. Sewell,1965,Democratic,current,"1,602"
"Senator Seymour, John",john-seymour/S000269,John Seymour,1937,Republican,not current,508
"Representative Shadegg, John B.",john-shadegg/S000275,John B. Shadegg,1949,Republican,not current,"1,628"
"Senator Shaheen, Jeanne",jeanne-shaheen/S001181,Jeanne Shaheen,1947,Democratic,current,"3,358"
"Representative Shalala, Donna E.",donna-shalala/S001206,Donna E. Shalala,1941,Democratic,current,496
"Representative Shamansky, Bob",robert-shamansky/S000282,Bob Shamansky,1927,Democratic,not current,230
"Representative Shannon, James M.",james-shannon/S000286,James M. Shannon,1952,Democratic,not current,519
"Representative Sharp, Philip R.",philip-sharp/S000294,Philip R. Sharp,1942,Democratic,not current,"1,178"
"Representative Shaw, E. Clay, Jr.",e-shaw/S000303,E. Clay Shaw Jr.,1939,Republican,not current,"3,156"
"Representative Shays, Christopher",christopher-shays/S001144,Christopher Shays,1945,Republican,not current,"4,982"
"Representative Shea-Porter, Carol",carol-shea-porter/S001170,Carol Shea-Porter,1952,Democratic,not current,"2,468"
"Senator Shelby, Richard C.",richard-shelby/S000320,Richard C. Shelby,1934,History,current,"4,282"
"Representative Shepherd, Karen",karen-shepherd/S000332,Karen Shepherd,1940,Democratic,not current,264
"Representative Sherman, Brad",brad-sherman/S000344,Brad Sherman,1954,Democratic,current,"4,211"
"Representative Sherrill, Mikie",mikie-sherrill/S001207,Mikie Sherrill,1972,Democratic,current,395
"Representative Sherwood, Don",don-sherwood/S001146,Don Sherwood,1941,Republican,not current,356
"Representative Shimkus, John",john-shimkus/S000364,John Shimkus,1958,Republican,current,"2,995"
"Representative Shipley, George E.",george-shipley/S000367,George E. Shipley,1927,Democratic,not current,147
"Representative Shoup, Dick",richard-shoup/S000383,Dick Shoup,1923,Republican,not current,140
"Representative Shows, Ronnie",ronnie-shows/S001147,Ronnie Shows,1947,Democratic,not current,991
"Representative Shriver, Garner E.",garner-shriver/S000388,Garner E. Shriver,1912,Republican,not current,198
"Representative Shuler, Heath",heath-shuler/S001171,Heath Shuler,1971,Democratic,not current,964
"Representative Shumway, Norman D.",norman-shumway/S000393,Norman D. Shumway,1934,Republican,not current,"1,842"
"Representative Shuster, Bill",bill-shuster/S001154,Bill Shuster,1961,Republican,not current,"1,691"
"Representative Shuster, Bud",bud-shuster/S000394,Bud Shuster,1932,Republican,not current,"1,193"
"Representative Sikes, Robert L. F.",robert-sikes/S000406,Robert L. F. Sikes,1906,Democratic,not current,412
"Representative Sikorski, Gerry E.",gerry-sikorski/S000407,Gerry E. Sikorski,1948,Democratic,not current,"1,935"
"Representative Siljander, Mark D.",mark-siljander/S000409,Mark D. Siljander,1951,Republican,not current,798
"Representative Simmons, Rob",rob-simmons/S001152,Rob Simmons,1943,Republican,not current,"1,304"
"Senator Simon, Paul",paul-simon/S000423,Paul Simon,1928,Democratic,not current,"6,392"
"Senator Simpson, Alan K.",alan-simpson/S000429,Alan K. Simpson,1931,Republican,not current,"2,383"
"Representative Simpson, Michael K.",michael-simpson/S001148,Michael K. Simpson,1950,Republican,current,"2,029"
"Senator Sinema, Kyrsten",kyrsten-sinema/S001191,Kyrsten Sinema,1976,Democratic,current,"1,736"
"Representative Sires, Albio",albio-sires/S001165,Albio Sires,1951,Democratic,current,"3,354"
"Representative Sisisky, Norman",norman-sisisky/S000453,Norman Sisisky,1927,Democratic,not current,"1,832"
"Representative Sisk, B. F.",bernice-sisk/S000454,B. F. Sisk,1910,Democratic,not current,664
"Representative Skaggs, David E.",david-skaggs/S000462,David E. Skaggs,1943,Democratic,not current,"1,061"
"Representative Skeen, Joe",joseph-skeen/S000463,Joe Skeen,1927,Republican,not current,"2,648"
"Representative Skelton, Ike",ike-skelton/S000465,Ike Skelton,1931,Democratic,not current,"3,714"
"Representative Skubitz, Joe",joe-skubitz/S000472,Joe Skubitz,1906,Republican,not current,277
"Representative Slack, John",john-slack/S000473,John Slack,1915,Democratic,not current,237
"Representative Slattery, Jim",james-slattery/S000477,Jim Slattery,1948,Democratic,not current,"1,732"
"Representative Slaughter, D. French, Jr.",d-slaughter/S000479,D. French Slaughter Jr.,1925,Republican,not current,576
"Representative Slaughter, Louise McIntosh",louise-slaughter/S000480,Louise McIntosh Slaughter,1929,Democratic,not current,"7,187"
"Representative Slotkin, Elissa",elissa-slotkin/S001208,Elissa Slotkin,1976,Democratic,current,540
"Representative Smith, Adam",adam-smith/S000510,Adam Smith,1965,Democratic,current,"3,988"
"Representative Smith, Adrian",adrian-smith/S001172,Adrian Smith,1970,Republican,current,"1,069"
"Representative Smith, Albert L., Jr.",albert-smith/S000514,Albert L. Smith Jr.,1931,Republican,not current,243
"Senator Smith, Bob",robert-smith/S000606,Bob Smith,1941,History,not current,"2,770"
"Representative Smith, Christopher H.",christopher-smith/S000522,Christopher H. Smith,1953,Republican,current,"7,548"
"Representative Smith, Denny",denny-smith/S000527,Denny Smith,1938,Republican,not current,"1,306"
"Senator Smith, Gordon H.",gordon-smith/S001142,Gordon H. Smith,1952,Republican,not current,"2,318"
"Representative Smith, Henry P., III",henry-smith/S000548,Henry P. Smith III,1911,Republican,not current,86
"Representative Smith, Jason",jason-smith/S001195,Jason Smith,1980,Republican,current,851
"Representative Smith, Joseph F.",joseph-smith/S000579,Joseph F. Smith,1920,Democratic,not current,261
"Representative Smith, Lamar",lamar-smith/S000583,Lamar Smith,1947,Republican,not current,"3,693"
"Representative Smith, Larkin",larkin-smith/S000584,Larkin Smith,1944,Republican,not current,184
"Representative Smith, Lawrence",lawrence-smith/S000586,Lawrence Smith,1941,Democratic,not current,"3,666"
"Representative Smith, Linda",linda-smith/S000587,Linda Smith,1950,Republican,not current,300
"Representative Smith, Neal Edward",neal-smith/S000596,Neal Edward Smith,1920,Democratic,not current,"1,149"
"Representative Smith, Nick",nick-smith/S000597,Nick Smith,1934,Republican,not current,954
"Representative Smith, Peter",peter-smith/S000601,Peter Smith,1945,Republican,not current,369
"Representative Smith, Robert",robert-smith/S000607,Robert Smith,1931,Republican,not current,"1,335"
"Senator Smith, Tina ",tina-smith/S001203,Tina Smith,1958,Democratic,current,"1,165"
"Representative Smith, Virginia",virginia-smith/S000622,Virginia Smith,1911,Republican,not current,"1,064"
"Representative Smucker, Lloyd",lloyd-smucker/S001199,Lloyd Smucker,1964,Republican,current,433
"Representative Snowbarger, Vince",vince-snowbarger/S000662,Vince Snowbarger,1949,Republican,not current,226
"Senator Snowe, Olympia J.",olympia-snowe/S000663,Olympia J. Snowe,1947,Republican,not current,"6,664"
"Representative Snyder, M. G. (Gene)",m-snyder/S000669,M. G. (Gene) Snyder,1928,Republican,not current,989
"Representative Snyder, Vic",victor-snyder/S000672,Vic Snyder,1947,Democratic,not current,"1,648"
"Representative Sodrel, Michael E.",michael-sodrel/S001160,Michael E. Sodrel,1945,Republican,not current,138
"Representative Solarz, Stephen J.",stephen-solarz/S000673,Stephen J. Solarz,1940,Democratic,not current,"4,068"
"Representative Solis, Hilda L.",hilda-solis/S001153,Hilda L. Solis,1957,Democratic,not current,"1,910"
"Representative Solomon, Gerald B. H.",gerald-solomon/S000675,Gerald B. H. Solomon,1930,Republican,not current,"4,701"
"Representative Soto, Darren",darren-soto/S001200,Darren Soto,1978,Democratic,current,"1,828"
"Representative Souder, Mark E.",mark-souder/S001143,Mark E. Souder,1950,Republican,not current,"3,185"
"Representative Southerland, Steve II",steve-southerland/S001186,Steve Southerland II,1965,Republican,not current,475
"Representative Space, Zachary T.",zachary-space/S001173,Zachary T. Space,1961,Democratic,not current,732
"Representative Spanberger, Abigail Davis",abigail-spanberger/S001209,Abigail Davis Spanberger,1979,Democratic,current,608
"Representative Spano, Ross",ross-spano/S001210,Ross Spano,1966,Republican,current,271
"Senator Sparkman, John J.",john-sparkman/S000701,John J. Sparkman,1899,Democratic,not current,538
"Senator Specter, Arlen",arlen-specter/S000709,Arlen Specter,1930,History,not current,"5,605"
"Representative Speier, Jackie",jackie-speier/S001175,Jackie Speier,1950,Democratic,current,"2,685"
"Representative Spellman, Gladys Noon",gladys-spellman/S000716,Gladys Noon Spellman,1918,Democratic,not current,"1,724"
"Representative Spence, Floyd",floyd-spence/S000718,Floyd Spence,1928,Republican,not current,"2,943"
"Representative Spratt, John M., Jr.",john-spratt/S000749,"John M. Spratt, Jr.",1942,Democratic,not current,"3,226"
"Representative St Germain, Fernand J.",fernand-st-germain/S000762,Fernand J. St Germain,1928,Democratic,not current,"1,964"
"Senator Stabenow, Debbie",deborah-stabenow/S000770,Debbie Stabenow,1950,Democratic,current,"5,253"
"Representative Stack, Edward J.",edward-stack/S000772,Edward J. Stack,1910,Democratic,not current,198
"Senator Stafford, Robert T.",robert-stafford/S000776,Robert T. Stafford,1913,Republican,not current,"2,067"
"Representative Staggers, Harley O.",harley-staggers/S000778,Harley O. Staggers,1907,Democratic,not current,617
"Representative Staggers, Harley O., Jr.",harley-staggers/S000779,Harley O. Staggers Jr.,1951,Democratic,not current,"1,530"
"Representative Stallings, Richard H.",richard-stallings/S000785,Richard H. Stallings,1940,Democratic,not current,"1,306"
"Representative Stangeland, Arlan",arlan-stangeland/S000795,Arlan Stangeland,1930,Republican,not current,"2,120"
"Representative Stanton, Greg",greg-stanton/S001211,Greg Stanton,1970,Democratic,current,311
"Representative Stanton, J. William",j-stanton/S000804,J. William Stanton,1924,Republican,not current,553
"Representative Stanton, James V.",james-stanton/S000803,James V. Stanton,1932,History,not current,228
"Representative Stark, Fortney Pete",pete-stark/S000810,Fortney Pete Stark,1931,Democratic,not current,"9,732"
"Representative Staton, David Michael",mick-staton/S000818,David Michael Staton,1940,Republican,not current,127
"Representative Stauber, Pete",pete-stauber/S001212,Pete Stauber,1966,Republican,current,296
"Representative Stearns, Cliff",cliff-stearns/S000822,Cliff Stearns,1941,Republican,not current,"2,954"
"Representative Steed, Tom",thomas-steed/S000829,Tom Steed,1904,Democratic,not current,318
"Representative Steele, Robert H.",robert-steele/S000836,Robert H. Steele,1938,Republican,not current,252
"Representative Steelman, Alan",alan-steelman/S000841,Alan Steelman,1942,Republican,not current,421
"Representative Steers, Newton I., Jr.",newton-steers/S000844,Newton I. Steers Jr.,1917,Republican,not current,426
"Representative Stefanik, Elise M.",elise-stefanik/S001196,Elise M. Stefanik,1984,Republican,current,"1,289"
"Representative Steiger, Sam",sam-steiger/S000846,Sam Steiger,1929,Republican,not current,226
"Representative Steiger, William A.",william-steiger/S000847,William A. Steiger,1938,Republican,not current,511
"Representative Steil, Bryan",bryan-steil/S001213,Bryan Steil,1981,Republican,current,158
"Representative Stenholm, Charles W.",charles-stenholm/S000851,Charles W. Stenholm,1938,Democratic,not current,"3,344"
"Senator Stennis, John C.",john-stennis/S000852,John C. Stennis,1901,Democratic,not current,"1,127"
"Representative Stephens, Robert G., Jr.",robert-stephens/S000860,Robert G. Stephens Jr.,1913,Democratic,not current,197
"Representative Steube, W. Gregory",w-steube/S001214,W. Gregory Steube,1978,Republican,current,438
"Representative Stevens, Haley M.",haley-stevens/S001215,Haley M. Stevens,1983,Democratic,current,406
"Senator Stevens, Ted",theodore-stevens/S000888,Ted Stevens,1923,Republican,not current,"5,800"
"Senator Stevenson, Adlai E., III",adlai-stevenson/S000890,Adlai E. Stevenson III,1930,Democratic,not current,608
"Representative Stewart, Bennett McVey",bennett-stewart/S000902,Bennett McVey Stewart,1912,Democratic,not current,93
"Representative Stewart, Chris",chris-stewart/S001192,Chris Stewart,1960,Republican,current,928
"Senator Stewart, Donald",donald-stewart/S000907,Donald Stewart,1940,Democratic,not current,185
