name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Bolling, Richard",richard-bolling/B000605,Richard Bolling,1916,Democratic,not current,392
"Representative Bonamici, Suzanne",suzanne-bonamici/B001278,Suzanne Bonamici,1954,Democratic,current,"2,135"
"Senator Bond, Christopher S.",christopher-bond/B000611,Christopher S. Bond,1939,Republican,not current,"3,367"
"Representative Boner, William H.",william-boner/B000615,William H. Boner,1945,Democratic,not current,"1,241"
"Representative Bonilla, Henry",henry-bonilla/B000617,Henry Bonilla,1954,Republican,not current,"1,066"
"Representative Bonior, David E.",david-bonior/B000619,David E. Bonior,1945,Democratic,not current,"5,791"
"Representative Bonker, Don",don-bonker/B000620,Don Bonker,1937,Democratic,not current,"1,403"
"Representative Bonner, Jo",jo-bonner/B001244,Jo Bonner,1959,Republican,not current,"1,070"
"Representative Bono Mack, Mary",mary-bono-mack/B001228,Mary Bono Mack,1961,Republican,not current,"1,674"
"Representative Bono, Sonny",sonny-bono/B000622,Sonny Bono,1935,Republican,not current,359
"Senator Booker, Cory A.",cory-booker/B001288,Cory A. Booker,1969,Democratic,current,"2,401"
"Senator Boozman, John",john-boozman/B001236,John Boozman,1950,Republican,current,"3,486"
"Representative Bordallo, Madeleine Z.",madeleine-bordallo/B001245,Madeleine Z. Bordallo,1933,Democratic,not current,"3,665"
"Representative Boren, Dan",dan-boren/B001254,Dan Boren,1973,Democratic,not current,"1,254"
"Senator Boren, David L.",david-boren/B000639,David L. Boren,1941,Democratic,not current,"2,898"
"Representative Borski, Robert A.",robert-borski/B000644,Robert A. Borski,1948,Democratic,not current,"3,238"
"Senator Boschwitz, Rudy",rudolf-boschwitz/B000647,Rudy Boschwitz,1930,Republican,not current,"2,601"
"Representative Bosco, Douglas H.",douglas-bosco/B000648,Douglas H. Bosco,1946,Democratic,not current,"1,253"
"Representative Bost, Mike",mike-bost/B001295,Mike Bost,1960,Republican,current,730
"Representative Boswell, Leonard L.",leonard-boswell/B000652,Leonard L. Boswell,1934,Democratic,not current,"2,378"
"Representative Boucher, Rick",rick-boucher/B000657,Rick Boucher,1946,Democratic,not current,"4,354"
"Representative Boulter, Beau",e-boulter/B000666,Beau Boulter,1942,Republican,not current,486
"Representative Boustany, Charles W., Jr.",charles-boustany/B001255,"Charles W. Boustany, Jr.",1956,Republican,not current,"1,747"
"Representative Bowen, David R.",david-bowen/B000682,David R. Bowen,1932,Democratic,not current,"1,033"
"Senator Boxer, Barbara",barbara-boxer/B000711,Barbara Boxer,1940,Democratic,not current,10
"Representative Boyd, Allen",allen-boyd/B000716,Allen Boyd,1945,Democratic,not current,"1,229"
"Representative Boyda, Nancy E.",nancy-boyda/B001258,Nancy E. Boyda,1955,Democratic,not current,477
"Representative Boyle, Brendan F.",brendan-boyle/B001296,Brendan F. Boyle,1977,Democratic,current,"1,342"
"Representative Brademas, John",john-brademas/B000736,John Brademas,1927,Democratic,not current,691
"Senator Bradley, Bill",william-bradley/B001225,Bill Bradley,1943,Democratic,not current,"3,315"
"Representative Bradley, Jeb",jeb-bradley/B001246,Jeb Bradley,1952,Republican,not current,539
"Representative Brady, Kevin",kevin-brady/B000755,Kevin Brady,1955,Republican,current,"2,246"
"Senator Brady, Nicholas",nicholas-brady/B000756,Nicholas Brady,1930,Republican,not current,23
"Representative Brady, Robert A.",robert-brady/B001227,Robert A. Brady,1945,Democratic,not current,"4,127"
"Representative Braley, Bruce L.",bruce-braley/B001259,Bruce L. Braley,1957,Democratic,not current,"1,584"
"Representative Brasco, Frank",frank-brasco/B000771,Frank Brasco,1932,Democratic,not current,281
"Representative Brat, Dave",dave-brat/B001290,Dave Brat,1964,Republican,not current,533
"Senator Braun, Mike ",mike-braun/B001310,Mike Braun,1954,Republican,current,481
"Representative Bray, William G.",william-bray/B000778,William G. Bray,1903,Republican,not current,77
"Senator Breaux, John B.",john-breaux/B000780,John B. Breaux,1944,Democratic,not current,"3,767"
"Representative Breckinridge, John B.",john-breckinridge/B000788,John B. Breckinridge,1913,Democratic,not current,299
"Representative Brennan, Joseph E.",joseph-brennan/B000798,Joseph E. Brennan,1934,Democratic,not current,575
"Representative Brewster, Bill K.",bill-brewster/B000817,Bill K. Brewster,1941,Democratic,not current,698
